question_id,corrected by,verified by,db_id,question,evidence,SQL,original_question,original_evidence,original_SQL,reason,SQL error pattern,verification (Tengjun),response,verification (Yoojin),response,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16
4712,Yuxuan,Tengjun,disney,Which directors had the most popular films from 1937 to 1990?,"from 1937 to 1990 refers to substr(release_date, length(release_date) - 3, length(release_date)) between '1937' and '1990'; the most popular film refers to movie_title where MAX(total_gross);","SELECT T2.director FROM characters AS T1 INNER JOIN director AS T2 ON T1.movie_title = T2.name INNER JOIN movies_total_gross AS T3 ON T3.movie_title = T1.movie_title WHERE SUBSTR(T3.release_date, LENGTH(T3.release_date) - 3, LENGTH(T3.release_date)) BETWEEN '1937' AND '1990' AND CAST(REPLACE(trim(T3.total_gross, '$'), ',', '') AS REAL)= (SELECT MAX(CAST(REPLACE(trim(T4.total_gross, '$'), ',', '') AS REAL)) FROM characters AS T5 INNER JOIN movies_total_gross AS T4 ON T5.movie_title = T4.movie_title WHERE SUBSTR(T4.release_date, LENGTH(T4.release_date) - 3, LENGTH(T4.release_date)) BETWEEN '1937' AND '1990');",Which director had the most popular film from 1937 to 1990?,,"SELECT T2.director FROM characters AS T1 INNER JOIN director AS T2 ON T1.movie_title = T2.name INNER JOIN movies_total_gross AS T3 ON T3.movie_title = T1.movie_title WHERE SUBSTR(T3.release_date, LENGTH(T3.release_date) - 3, LENGTH(T3.release_date)) BETWEEN '1937' AND '1990' ORDER BY CAST(REPLACE(trim(T3.total_gross, '$'), ',', '') AS REAL) DESC LIMIT 1",The original query does not consider potential ties.,ties,,,,,,,,,,,,,,,,,,,,
4723,Yuxuan,Tengjun,disney,Which actor voices Akela from The Jungle Book?,Akela refers character = 'Akela'; which actor voices refers to voice-actor;,SELECT `voice-actor` FROM `voice-actors` WHERE character = 'Akela',,,,correct,,,,,,,,,,,,,,,,,,,,,
4749,Yuxuan,Tengjun,legislator,For how many terms has current legislator Sherrod Brown served?,Sherrod Brown is an official_full_name,SELECT COUNT(*) FROM current AS T1 INNER JOIN `current-terms` AS T2 ON T1.bioguide_id = T2.bioguide WHERE T1.official_full_name = 'Sherrod Brown',,,,correct,,,,,,,,,,,,,,,,,,,,,
4751,Yuxuan,Tengjun,legislator,For which state did current legislator Sherrod Brown serve during his term that started on 1993/1/5?,Sherrod Brown is an full official name; started on 1993/1/5 refers to start = '1993-01-05';,SELECT T1.state FROM `current-terms` AS T1 INNER JOIN current AS T2 ON T2.bioguide_id = T1.bioguide WHERE T1.start = '1993-01-05' AND T2.official_full_name = 'Sherrod Brown',,,,correct,,,,,,,,,,,,,,,,,,,,,
4756,Yuxuan,Tengjun,legislator,How many males were members of the current legislators?,male refers to gender_bio = 'M',SELECT COUNT(*) FROM current WHERE gender_bio = 'M',,,,correct,,,,,,,,,,,,,,,,,,,,,
4759,Yuxuan,Tengjun,legislator,How many females were members of the past legislators?,female refers to gender_bio = 'F',SELECT COUNT(*) FROM historical WHERE gender_bio = 'F',,,,correct,,,,,,,,,,,,,,,,,,,,,
4792,Yuxuan,Yoojin (response),legislator,What percentage of historical senators were from class 1?,"senator refers to type = 'sen'; class 1 refers to class = 1; calculation = MULTIPLY(DIVIDE(COUNT(class = 1), COUNT(bioguide)), 100.0)",SELECT CAST(SUM(CASE WHEN class = 1 THEN 1 ELSE 0 END) AS REAL) * 100 / COUNT(*) FROM `historical-terms` WHERE type = 'sen',How many percent of senators were from class 1?,"senator refers to type = 'sen'; class 1 refers to class = 1; calculation = MULTIPLY(DIVIDE(COUNT(class = 1 then bioguide), COUNT(bioguide)), 1.0)","SELECT SUM(CASE WHEN class = 1 THEN 1 ELSE 0 END) * 100.0 / COUNT(*) FROM (SELECT DISTINCT bioguide, class FROM `current-terms` WHERE type = 'sen' )","The annotated query looks only at table `historical-terms`, therefore it excludes sitting senators whose information is stored in `current-terms`.  It also divides by the number of term rows, not by the number of distinct senators, so long-serving members are over-weighted.  Because the wording “were” does not make clear whether the question refers to the current Senate or to all who have ever served, the scope itself is ambiguous.  Hence the query is incorrect and the question is ambiguous.",wrong mathematical calculation,historical,corrected,correct question: How many percent of → What percentage of,"corrected evidence; I think ""then bioguide"" means that if class = 1 then count(bioguide), which I think is fine",corrected question,,,,,,,,,,,,,,,
4802,Yuxuan,Tengjun,legislator,Report the difference between the number of all legislators who started their term in 2005 and 1875?,started the term in 1875 refers to start LIKE '1875%'; started the term in 2005 refers to start LIKE '2005%',"WITH all_terms AS ( SELECT `bioguide`, `start` FROM `historical-terms` UNION ALL SELECT `bioguide`, `start` FROM `current-terms` ) SELECT (SELECT COUNT(DISTINCT bioguide) FROM all_terms WHERE start LIKE '2005%') - (SELECT COUNT(DISTINCT bioguide) FROM all_terms WHERE start LIKE '1875%')",Compare the number of legislators who started the term in 1875 and 2005.,,SELECT SUM(CASE WHEN `current-terms`.start LIKE '2005%' THEN 1 ELSE 0 END) - ( SELECT SUM(CASE WHEN start LIKE '1875%' THEN 1 ELSE 0 END) FROM `historical-terms` ) FROM `current-terms`,"The original query (1) looks for 2005 starters only in `current-terms` while 2005 starters also exist in `historical-terms`; (2) looks for 1875 starters only in `historical-terms` while they could in principle appear elsewhere; (3) subtracts the two counts and therefore returns a single number instead of reporting each year’s total; (4) counts rows instead of distinct legislators, so multiple terms by the same person would be double-counted.",,,,,,,,,,,,,,,,,,,,,
4830,Yuxuan,Tengjun,legislator,What is the google entity ID of Benjamin Hawkins?,,SELECT google_entity_id_id FROM historical WHERE first_name = 'Benjamin' AND last_name = 'Hawkins',,,,correct,,,,,,,,,,,,,,,,,,,,,
4861,Yuxuan,Yoojin (response),legislator,Which historical female legislators that have their term ended on the 3rd of January 1971? Return their first names and last names.,female legislator refers to gender_bio = 'F'; term ended on the 3rd of Januray 1971 refers to end = '1971-01-03';,"SELECT T1.first_name, T1.last_name FROM historical AS T1 INNER JOIN `historical-terms` AS T2 ON T1.bioguide_id = T2.bioguide WHERE T2.end = '1971-01-03' AND T1.gender_bio = 'F'",Which historical female legislator that have their term ended on the 3rd of March 1791?,female legislator refers to gender_bio = 'F'; term ended on the 3rd of March 1791 refers to end = '1791-03-03';,"SELECT T1.first_name, T1.last_name FROM historical AS T1 INNER JOIN `historical-terms` AS T2 ON T1.bioguide_id = T2.bioguide WHERE T2.end = '1791-03-03' AND T1.gender_bio = 'F'","The original question leads to an empty result set. Therefore, we changed the filter condition.",,empty,corrected,"what to return can be ambiguous, but if you agree on it should obviously return first + last name instead of bioguide_id, I think it's fine",corrected question,,,,,,,,,,,,,,,,
4862,Yuxuan,Yoojin (response),legislator,List the first names and last names of all the Jewish current legislators that are serving in Florida.,Jewish refers to religion_bio = 'Jewish'; in Florida refers to state = 'FL';,"SELECT T1.first_name, T1.last_name FROM current AS T1 INNER JOIN `current-terms` AS T2 ON T1.bioguide_id = T2.bioguide WHERE T1.religion_bio = 'Jewish' AND T2.state = 'FL' GROUP BY T1.first_name, T1.last_name",List all the Jewish current legislators that had served in Florida.,,,The output format is unclear in the original question.,,unclear output format,corrected,"question should be ""serving"" instead of ""had served"" to match the SQL, we need to join historical-terms table if we're trying to find the legislators who ""had served""",corrected question,,,,,,,,,,,,,,,,
4868,Yuxuan,Tengjun,legislator,"In California, how many representatives ended their term in 1995?",California refers to state = 'CA'; representatives refers to type = 'rep'; ended the term in 1995 refers to end like '1995%';,"SELECT COUNT(*) FROM ( SELECT bioguide, `end` FROM `current-terms` WHERE `state` = 'CA' AND `type` = 'rep' AND `end` LIKE '1995%' UNION ALL SELECT bioguide, `end` FROM `historical-terms` WHERE `state` = 'CA' AND `type` = 'rep' AND `end` LIKE '1995%' ) t",,,SELECT COUNT(*) FROM `current-terms` WHERE state = 'CA' AND type = 'rep' AND end LIKE '1995%'," The annotated query only looks at the `current-terms` table.  It returns 8 rows, counting just those California representative terms that ended in 1995 **for legislators who are still serving today**.  It ignores the `historical-terms` table, which stores terms for former legislators.",,,,,,,,,,,,,,,,,,,,,
4899,Yuxuan,Tengjun,legislator,"What is the official full name of the current legislator whose current official Facebook presence is ""senjoniernst""?","current official Facebook presence is ""senjoniernst"" refers to facebook = 'senjoniernst';",SELECT T1.official_full_name FROM current AS T1 INNER JOIN `social-media` AS T2 ON T1.bioguide_id = T2.bioguide WHERE T2.facebook = 'senjoniernst',,,,correct,,,,,,,,,,,,,,,,,,,,,
4903,Yuxuan,Tengjun,legislator,How many of the legislators are female?,female refers to gender_bio = 'F';,"SELECT COUNT(DISTINCT `bioguide_id`) FROM (SELECT `bioguide_id`, `gender_bio` FROM `current` UNION ALL SELECT `bioguide_id`, `gender_bio` FROM `historical`) t WHERE `gender_bio` = 'F'",,,SELECT COUNT(gender_bio) FROM current WHERE gender_bio = 'F',The original query does not count the historical female legislators.,,,,,,,,,,,,,,,,,,,,,
4922,Yuxuan,Tengjun,olympics,Please list the names of the Olympic games that were held in London.,held in London refers to city_name = 'London';,SELECT T3.games_name FROM games_city AS T1 INNER JOIN city AS T2 ON T1.city_id = T2.id INNER JOIN games AS T3 ON T1.games_id = T3.id WHERE T2.city_name = 'London',,,,correct,,,,,,,,,,,,,,,,,,,,,
4927,Yuxuan,Tengjun,olympics,"Which sport does the event ""Shooting Women's Trap"" belong to? List the sport names.","sport refers to sport_name; event ""Shooting Women's Trap"" refers to event_name = 'Shooting Women''s Trap';",SELECT T1.sport_name FROM sport AS T1 INNER JOIN event AS T2 ON T1.id = T2.sport_id WHERE T2.event_name LIKE 'Shooting Women%s Trap',"Which sport does the event ""Shooting Women's Trap"" belong to?",,,correct,,,,,,,,,,,,,,,,,,,,,
4932,Yuxuan,Tengjun,olympics,Which game has Jessica Carolina Aguilera Aguilera participated in? Give the id of the game.,id of the game refers to games_id;,SELECT T2.games_id FROM person AS T1 INNER JOIN games_competitor AS T2 ON T1.id = T2.person_id WHERE T1.full_name = 'Jessica Carolina Aguilera Aguilera',,,,correct,,,,,,,,,,,,,,,,,,,,,
4978,Yuxuan,Tengjun,olympics,List out all the gold medalist winners in cycling sport.,gold medalist winners refer to full_name where medal_name = 'Gold'; cycling sport refers to sport_name = 'Cycling';,SELECT DISTINCT T5.full_name FROM event AS T1 INNER JOIN competitor_event AS T2 ON T1.id = T2.event_id INNER JOIN games_competitor AS T3 ON T2.competitor_id = T3.id INNER JOIN sport AS T4 ON T1.sport_id = T4.id INNER JOIN person AS T5 ON T3.person_id = T5.id WHERE T4.sport_name = 'Cycling' AND T2.medal_id = 1,,,,correct,,,,,,,,,,,,,,,,,,,,,
4995,Yuxuan,Tengjun,olympics,How many athletes over the age of 59 competed in the 2016 Summer Olympics?,over the age of 59 refers to age > 59; the 2016 Summer Olympics refer to games_name = '2016 Summer';,SELECT COUNT(T2.person_id) FROM games AS T1 INNER JOIN games_competitor AS T2 ON T1.id = T2.games_id WHERE T1.games_name = '2016 Summer' AND T2.age > 59,,,,correct,,,,,,,,,,,,,,,,,,,,,
5003,Yuxuan,Tengjun,olympics,Tell the weight of Dagfinn Sverre Aarskog.,,SELECT weight FROM person WHERE full_name = 'Dagfinn Sverre Aarskog',,,,correct,,,,,,,,,,,,,,,,,,,,,
5009,Yuxuan,Tengjun,olympics,How many 20 years old athletes were there in the 1984 Summer Olympic Games?,20 years old athletes refer to person_id where age = 20; 1984 Summer Olympic Games refer to games_name = '1984 Summer';,SELECT COUNT(T2.person_id) FROM games AS T1 INNER JOIN games_competitor AS T2 ON T1.id = T2.games_id WHERE T1.games_name = '1984 Summer' AND T2.age = 20,,,,correct,,,,,,,,,,,,,,,,,,,,,
5012,Yuxuan,Tengjun,olympics,How many kinds of events does athletics have?,kinds of events refer to event_name; athletics refer to sport_name = 'Athletics';,SELECT COUNT(T2.event_name) FROM sport AS T1 INNER JOIN event AS T2 ON T1.id = T2.sport_id WHERE T1.sport_name = 'Athletics',,,,correct,,,,,,,,,,,,,,,,,,,,,
5020,Yuxuan,Tengjun,olympics,"From 1900 to 1992, how many games did London host?",From 1900 to 1992 refers to games_year BETWEEN 1900 AND 1992; London refers to city_name = 'London'; games refer to games_name;,SELECT COUNT(T3.id) FROM games_city AS T1 INNER JOIN city AS T2 ON T1.city_id = T2.id INNER JOIN games AS T3 ON T1.games_id = T3.id WHERE T2.city_name = 'London' AND T3.games_year BETWEEN 1900 AND 1992,,,,correct,,,,,,,,,,,,,,,,,,,,,
5048,Yuxuan,Tengjun,olympics,Which regions are the majority of the athletes from?,region refers to region_name; the majority of the athletes from refer to MAX(COUNT(region_name));,SELECT T2.region_name FROM person_region AS T1 INNER JOIN noc_region AS T2 ON T1.region_id = T2.id GROUP BY T2.region_name HAVING COUNT(T1.person_id) = (SELECT MAX(region_count) FROM (SELECT COUNT(T3.person_id) AS region_count FROM person_region AS T3 GROUP BY T3.region_id) AS T4);,Which region is the majority of the athletes from?,,SELECT T2.region_name FROM person_region AS T1 INNER JOIN noc_region AS T2 ON T1.region_id = T2.id GROUP BY T2.region_name ORDER BY COUNT(T1.person_id) DESC LIMIT 1,The original query does not consider potential ties.,ties,,,,,,,,,,,,,,,,,,,,
5059,Yuxuan,Tengjun,olympics,What is the average age of Argentina's athletes who participated in the Summer Olympics in 2012?,AVG(age) where games_name = '2012 Summer' and region_name = 'Argentina';,SELECT AVG(T2.age) FROM games AS T1 INNER JOIN games_competitor AS T2 ON T1.id = T2.games_id INNER JOIN person_region AS T3 ON T2.person_id = T3.person_id INNER JOIN noc_region AS T4 ON T3.region_id = T4.id WHERE T1.games_name = '2012 Summer' AND T4.region_name = 'Argentina',,,,correct,,,,,,,,,,,,,,,,,,,,,
5060,Yuxuan,Yoojin (response),olympics,"Among the medals won by men’s-basketball players, what percentage were bronze?","DIVIDE(COUNT(competitor_id where medal_name = 'Bronze'), COUNT(competitor_id)) as percentage where event_name = 'Basketball Men''s Basketball';",SELECT CAST(COUNT(CASE WHEN T4.medal_name = 'Bronze' THEN 1 ELSE NULL END) AS REAL) * 100 /  COUNT(CASE WHEN T4.medal_name != 'NA' THEN 1 ELSE NULL END) FROM competitor_event AS T1 INNER JOIN games_competitor AS T2 ON T1.competitor_id = T2.id INNER JOIN event AS T3 ON T1.event_id = T3.id INNER JOIN medal AS T4 ON T1.medal_id = T4.id WHERE T3.event_name LIKE 'Basketball Men%s Basketball',Calculate the percentage of bronze medals won by men's basketball players.,,SELECT CAST(COUNT(CASE WHEN T4.medal_name = 'Bronze' THEN 1 ELSE NULL END) AS REAL) * 100 / COUNT(T2.person_id) FROM competitor_event AS T1 INNER JOIN games_competitor AS T2 ON T1.competitor_id = T2.id INNER JOIN event AS T3 ON T1.event_id = T3.id INNER JOIN medal AS T4 ON T1.medal_id = T4.id WHERE T3.event_name LIKE 'Basketball Men%s Basketball',"Because the wording does not specify whether the denominator should be (a) all medals won by men’s-basketball players or (b) all bronze medals overall, the question is ambiguous; the annotated query satisfies only interpretation (a).",,denominator should be COUNT(CASE WHEN T1.medal_id != 4 THEN 1 ELSE NULL END) ,corrected,think it's better to have denominator as COUNT(CASE WHEN T4.medal_name != 'NA' THEN 1 ELSE NULL END) since it's more explicit although it generates the same output,corrected SQL,,,,,,,,,,,,,,,,
5100,Yuxuan,Tengjun,address,What are the precise locations of the cities with an area code of 787? Only report their latitude and longitude.,"precise location refers to latitude, longitude","SELECT T2.latitude, T2.longitude FROM area_code AS T1 INNER JOIN zip_data AS T2 ON T1.zip_code = T2.zip_code WHERE T1.area_code = '787' GROUP BY T2.latitude, T2.longitude",What are the precise locations of the cities with an area code of 787?,,,correct,,,,,,,,,,,,,,,,,,,,,
5107,Yuxuan,Tengjun,address,"In the state where Lisa Murkowski is the representative, how many cities have zero employees?",zero employee refers to employees = 0,SELECT COUNT(DISTINCT z.`city`) AS num_cities FROM `congress` AS c JOIN `zip_data` AS z ON c.`abbreviation` = z.`state` WHERE c.`first_name` = 'Murkowski' AND c.`last_name` = 'Lisa' AND z.`employees` = 0,,,SELECT COUNT(T3.city) FROM congress AS T1 INNER JOIN state AS T2 ON T1.abbreviation = T2.abbreviation INNER JOIN zip_data AS T3 ON T2.abbreviation = T3.state WHERE T1.first_name = 'Murkowski' AND T1.last_name = 'Lisa' AND T3.employees = 0,"The original query counts `T3.city`, not `DISTINCT T3.city`, so every zip-code row is counted. Alaska has duplicate zip-code rows for several cities; COUNT(city) returns 30 while COUNT(DISTINCT city) returns 27. Because the question asks “how many cities”, the intended metric is the number of distinct city names, thus the annotated query over-counts and returns an incorrect answer.",,,,,,,,,,,,,,,,,,,,,
5119,Yuxuan,Tengjun,address,Give the name and the position of the cbsa officer from the area with the zip code 45503.,"position refers to latitude, longitude","SELECT T1.CBSA_name, T2.latitude, T2.longitude FROM CBSA AS T1 INNER JOIN zip_data AS T2 ON T1.CBSA = T2.CBSA WHERE T2.zip_code = 45503 GROUP BY T1.CBSA_name, T2.latitude, T2.longitude",,,,correct,,,,,,,,,,,,,,,,,,,,,
5123,Yuxuan,Tengjun,address,"What is the area code of Bishopville, SC?","""Bishopville"" is the city; 'SC' is the state",SELECT T1.area_code FROM area_code AS T1 INNER JOIN zip_data AS T2 ON T1.zip_code = T2.zip_code WHERE T2.city = 'Bishopville' AND T2.state = 'SC',,,,correct,,,,,,,,,,,,,,,,,,,,,
5151,Yuxuan,Tengjun,address,Give the name of the county and state of the city with elevation of 1039.,elevation of 1039 refers to elevation = 1039,"SELECT DISTINCT country.`county`, country.`state` FROM `country` JOIN `zip_data` ON country.`zip_code` = zip_data.`zip_code` WHERE zip_data.`elevation` = 1039",Give the name of the country and state of the city with elevation of 1039.,,"SELECT DISTINCT T1.name, T2.state FROM state AS T1 INNER JOIN country AS T2 ON T1.abbreviation = T2.state INNER JOIN zip_data AS T3 ON T2.zip_code = T3.zip_code WHERE T3.elevation = 1039","The schema contains no attribute that stores a country name; the closest geographic attribute is `county` in table `country`.  Hence the request for “name of the country” can be interpreted at least two ways (real country name -- impossible with the schema -- or county name). returns the full state name (`state.name`) and the state abbreviation (`country.state`).  It never returns a country/county field, so it does not satisfy either interpretation of the question.",,,,,,,,,,,,,,,,,,,,,
5186,Yuxuan,Tengjun,address,What are the names of the states with the most counties?,the most counties refer to MAX(COUNT(county));,SELECT S.`name` FROM state AS S JOIN country AS C ON S.`abbreviation` = C.`state` GROUP BY C.`state` HAVING COUNT(DISTINCT C.`county`) = (SELECT MAX(CountyCount) FROM (SELECT COUNT(DISTINCT C2.`county`) AS CountyCount FROM state AS S1 JOIN country AS C2 ON S1.`abbreviation` = C2.`state` GROUP BY C2.`state`) AS CountyCounts);,What is the name of the state with the most counties?,,SELECT T1.name FROM state AS T1 INNER JOIN country AS T2 ON T1.abbreviation = T2.state GROUP BY T2.state ORDER BY COUNT(T2.county) DESC LIMIT 1,"The original query counts the TOTAL ROWS per state, not the DISTINCT counties.  A state that has relatively few counties but many ZIP codes could outrank the correct state, so the query does not implement the required logic.  In this specific snapshot the same state (Texas) happens to appear first either way, but that is coincidental; the query is not logically sound for the task. The original query does not consider potential ties in the data.","ties, duplicates",,,,,,,,,,,,,,,,,,,,
5196,Yuxuan,Yoojin (response),address,Which state has the most bad aliases? List its name.,the most bad aliases refer to MAX(COUNT(bad_alias));,SELECT T2.state FROM avoid AS T1  INNER JOIN zip_data AS T2  ON T1.zip_code = T2.zip_code  GROUP BY T2.state  HAVING COUNT(T1.bad_alias) = (SELECT MAX(cnt) FROM (SELECT COUNT(*) AS cnt FROM avoid AS T3 INNER JOIN zip_data AS T4 ON T3.zip_code = T4.zip_code GROUP BY T4.state) AS subquery);,Which state has the most bad aliases?,,SELECT T2.state FROM avoid AS T1 INNER JOIN zip_data AS T2 ON T1.zip_code = T2.zip_code GROUP BY T2.state ORDER BY COUNT(T1.bad_alias) DESC LIMIT 1,The output requirement is not clear in the question. The original query does not consider potential ties in the data.,ties,unclear state name or abbr,corrected,no need to consider ties? (although there's none in the current db),modified db: https://github.com/uiuc-kang-lab/noisy-rl/blob/main/BIRD-Platinum/db_modification/5196.sql,,,,,,,,,,,,,,,,
5198,Yuxuan,Yoojin (response),address,Which states have greater than 20 CBSA officers of metro type? List their names.,greater than 20 CBSA officers of metro type refers to COUNT(DISTINCT CBSA WHERE CBSA_type = 'Metro') > 20;,SELECT zd.state FROM CBSA c JOIN zip_data zd ON c.CBSA = zd.CBSA WHERE c.CBSA_type = 'Metro' GROUP BY zd.state HAVING COUNT(DISTINCT c.CBSA) > 20,Which state has greater than 50 CBSA officers of metro type?,greater than 50 CBSA officers of metro type refers to COUNT(CBSA_type = 'Metro') > 50;,SELECT T2.state FROM CBSA AS T1 INNER JOIN zip_data AS T2 ON T1.CBSA = T2.CBSA WHERE T1.CBSA_type = 'Metro' GROUP BY T2.state HAVING COUNT(T1.CBSA_type) > 50,"The original query joins CBSA with zip_data, leading to one row per (CBSA, ZIP). Counting those rows inflates the total when a CBSA covers many ZIP codes. The question is most naturally interpreted as asking for the number of distinct CBSA officers of type 'Metro' per state; therefore the aggregation should be COUNT(DISTINCT c.CBSA). In addition, the original question results in an empty result set. Therefore, we modify the filter condition.","duplicates, empty result",unclear state name or abbr,corrected,correct evidence: greater than 50 → greater than 20,"corrected question, evidence, and SQL",corrected evidence,,,,,,,,,,,,,,,
5199,Yuxuan,Tengjun,address,Provide the total population of all counties named Arecibo in 2020.,population of Arecibo in 2020 refers to SUM(population_2020) where county = 'ARECIBO';,SELECT SUM(T2.population_2020) FROM country AS T1 INNER JOIN zip_data AS T2 ON T1.zip_code = T2.zip_code WHERE T1.county = 'ARECIBO',Provide the population of Arecibo in 2020.,,,"The question itself can also reasonably refer to the city of Arecibo. Summing `population_2020` where `city = 'Arecibo'` yields 49 801, a different valid result, so multiple interpretations exist.",,,,,,,,,,,,,,,,,,,,,
5210,Yuxuan,Tengjun,address,"Among the listed cities, provide the area code of the city with the largest water area.",the largest water area refers to MAX(water_area);,"SELECT DISTINCT ac.`area_code` FROM zip_data zd JOIN ( SELECT `city`, SUM(`water_area`) AS total_water FROM zip_data GROUP BY `city` ) c  ON c.`city` = zd.`city` JOIN area_code ac ON ac.`zip_code` = zd.`zip_code` WHERE c.total_water = ( SELECT MAX(total_water) FROM ( SELECT `city`, SUM(`water_area`) AS total_water FROM zip_data GROUP BY `city` ) )",,,SELECT T1.area_code FROM area_code AS T1 INNER JOIN zip_data AS T2 ON T1.zip_code = T2.zip_code WHERE T2.water_area = ( SELECT MAX(water_area) FROM zip_data ),"The annotated SQL finds the ZIP code whose individual `water_area` value is the maximum and returns the corresponding area-code.  However, the question is stated at the city level – “the city with the largest water area.”  A city can have several ZIP codes, so the most natural metric is an aggregate of `water_area` over all ZIPs belonging to each city (e.g., SUM or AVG).",,,,,,,,,,,,,,,,,,,,,
5211,Yuxuan,Yoojin (response),address,Provide the aliases of the cities with the highest population in year 2020.,the highest population in year 2020 refers to MAX(SUM(population_2020));,SELECT T1.alias FROM alias AS T1 INNER JOIN zip_data AS T2 ON T1.zip_code = T2.zip_code GROUP BY T2.city HAVING SUM(T2.population_2020) = ( SELECT SUM(population_2020) FROM zip_data GROUP BY city ORDER BY SUM(population_2020) DESC LIMIT 1 ),Provide the alias of the city with the highest population in year 2020.,,SELECT T1.alias FROM alias AS T1 INNER JOIN zip_data AS T2 ON T1.zip_code = T2.zip_code WHERE T2.population_2020 = ( SELECT MAX(population_2020) FROM zip_data ),The original query calculates the population per zip code instead of per city. One city may have multiple zip codes.,wrong or missing group keys,sum first,corrected,db should distinguish whether SQL considers tie or not,corrected evidence,modified db: https://github.com/uiuc-kang-lab/noisy-rl/blob/main/BIRD-Platinum/db_modification/5211.sql,,,,,,,,,,,,,,,
5253,Yuxuan,Yoojin,beer_factory,Show the credit card number of Lisa Ling.,,SELECT DISTINCT T2.CreditCardNumber FROM customers AS T1 INNER JOIN `transaction` AS T2 ON T1.CustomerID = T2.CustomerID WHERE T1.First = 'Lisa' AND T1.Last = 'Ling',,FALSE;,,Evidence is meaningless.,,evidence?,corrected,,,,,,,,,,,,,,,,,,
5259,Yuxuan,Tengjun,beer_factory,"For the customer who leaves the review content of ""Tastes like Australia."", when was his/her first purchase date?","review content of ""Tastes like Australia."" refers to Review = 'Tastes like Australia.';",SELECT T1.FirstPurchaseDate FROM customers AS T1 INNER JOIN rootbeerreview AS T2 ON T1.CustomerID = T2.CustomerID WHERE T2.Review = 'Tastes like Australia.',,,,correct,,,,,,,,,,,,,,,,,,,,,
5264,Yuxuan,Tengjun,beer_factory,What is the percentage of 5 star ratings River City brand root beer get?,"percentage = MULTIPLY(DIVIDE(SUM(BrandID WHERE StarRating = 5), COUNT(BrandID) WHERE BrandName = 'River City'), 1.0); 5 star ratings refers to StarRating = 5; River City refers to BrandName = 'River City';",SELECT CAST(COUNT(CASE WHEN T2.StarRating = 5 THEN 1 ELSE NULL END) AS REAL) * 100 / COUNT(T2.StarRating) FROM rootbeerbrand AS T1 INNER JOIN rootbeerreview AS T2 ON T1.BrandID = T2.BrandID WHERE T1.BrandName = 'River City',,,,correct,,,,,,,,,,,,,,,,,,,,,
5269,Yuxuan,Tengjun,beer_factory,How many breweries are there in Australia?,Australia refers to Country = 'Australia';,SELECT COUNT(DISTINCT `BreweryName`) FROM `rootbeerbrand` WHERE `Country` = 'Australia',,,SELECT COUNT(BreweryName) FROM rootbeerbrand WHERE Country = 'Australia',"it counts rows (brands), not unique breweries; over-counts if a brewery has multiple brands.",,,,,,,,,,,,,,,,,,,,,
5282,Yuxuan,Tengjun,beer_factory,What is the precise location of Sac State Union?,"precise location = Latitude, Longitude; Sac State Union refers to LocationName = 'Sac State Union';","SELECT T2.Latitude, T2.Longitude FROM location AS T1 INNER JOIN geolocation AS T2 ON T1.LocationID = T2.LocationID WHERE T1.LocationName = 'Sac State Union'",,,,correct,,,,,,,,,,,,,,,,,,,,,
